,Normal,Anómalo,Diferencia,Dif_Absoluta
HorasEstudio,4.63063063063063,18.0,13.36936936936937,13.36936936936937
UsoVideojuegos,5.7207207207207205,17.25,11.52927927927928,11.52927927927928
PensamientoLogico2,20.44144144144144,11.25,-9.191441441441441,9.191441441441441
PensamientoLogico4,14.68918918918919,9.0,-5.6891891891891895,5.6891891891891895
Edad,21.117117117117118,26.75,5.632882882882882,5.632882882882882
ConsumoCafeina,1.1261261261261262,5.0,3.873873873873874,3.873873873873874
HorasTrabajo,7.45945945945946,4.5,-2.9594594594594597,2.9594594594594597
PensamientoLogico3,11.135135135135135,8.75,-2.385135135135135,2.385135135135135
RendimientoProgramacion,5.576576576576577,3.25,-2.326576576576577,2.326576576576577
TiempoEjercicioSemana,3.135135135135135,5.0,1.864864864864865,1.864864864864865
ResilienciaFrustracion5,3.684684684684685,4.75,1.0653153153153152,1.0653153153153152
ConsumeEstupefaciente,0.018018018018018018,0.75,0.7319819819819819,0.7319819819819819
PensamientoLogico1,16.18018018018018,15.5,-0.6801801801801801,0.6801801801801801
MetodoDeEstudio_Ejercicios,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666
"TipoAprendizaje_Kinestésico (prefiero hacer las cosas, practicar)",0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666
ResilienciaFrustracion1,3.900900900900901,3.25,-0.650900900900901,0.650900900900901
TiempoHogarEscuela,1.9189189189189189,2.5,0.5810810810810811,0.5810810810810811
MetodoDeEstudio_MapasConceptuales,0.1981981981981982,0.75,0.5518018018018018,0.5518018018018018
MetodoDeEstudio_Resumenes,0.1981981981981982,0.75,0.5518018018018018,0.5518018018018018
ActividadesEnInfancia_JuegoTecnologico,0.7837837837837838,0.25,-0.5337837837837838,0.5337837837837838
HorasDeSueno,6.018018018018018,5.5,-0.5180180180180178,0.5180180180180178
ConsumeEstupefacienteControl,0.018018018018018018,0.5,0.481981981981982,0.481981981981982
DietaBalanceada_Sí,0.2702702702702703,0.75,0.4797297297297297,0.4797297297297297
DescalcificacionEnGestacion_No,0.7297297297297297,0.25,-0.4797297297297297,0.4797297297297297
MetodoDeEstudio_VideosTutoriales,0.7297297297297297,0.25,-0.4797297297297297,0.4797297297297297
"TipoAprendizaje_Visual (prefiero diagramas, videos)",0.27927927927927926,0.75,0.47072072072072074,0.47072072072072074
ConsumoBebidaAzucarada,0.7927927927927928,1.25,0.4572072072072072,0.4572072072072072
DescalcificacionEnGestacion_Sí,0.04504504504504504,0.5,0.45495495495495497,0.45495495495495497
TipoEscuelaPrevia_Escuela privada (colegios),0.32432432432432434,0.75,0.42567567567567566,0.42567567567567566
NivelIngles_Intermedio,0.32432432432432434,0.75,0.42567567567567566,0.42567567567567566
TipoEscuelaPrevia_Escuela pública,0.6756756756756757,0.25,-0.42567567567567566,0.42567567567567566
ActividadesEnInfancia_JuegoSimbolico,0.6216216216216216,0.25,-0.3716216216216216,0.3716216216216216
ActividadesExtra_TareasHogar,0.8558558558558559,0.5,-0.3558558558558559,0.3558558558558559
ActividadesExtra_Laborales,0.4144144144144144,0.75,0.3355855855855856,0.3355855855855856
ActividadesEnInfancia_JuegoCreativo,0.5765765765765766,0.25,-0.32657657657657657,0.32657657657657657
AhorroEnInfancia,0.6846846846846847,1.0,0.3153153153153153,0.3153153153153153
NivelIngles_Avanzado,0.3153153153153153,0.0,-0.3153153153153153,0.3153153153153153
ActividadesExtra_CuidadoFamiliar,0.1981981981981982,0.5,0.30180180180180183,0.30180180180180183
ConsumioOmega3_No,0.21621621621621623,0.5,0.28378378378378377,0.28378378378378377
NivelInstrumentoMusical_No sé tocar un instrumento,0.46846846846846846,0.75,0.28153153153153154,0.28153153153153154
ResilienciaFrustracion3,3.4684684684684686,3.75,0.28153153153153143,0.28153153153153143
UsoHerramientasIA_Frecuentemente (varias veces por semana),0.5225225225225225,0.25,-0.2725225225225225,0.2725225225225225
ConsumioOmega3_No lo sé,0.2702702702702703,0.0,-0.2702702702702703,0.2702702702702703
UsoHerramientasIA_Nunca,0.0,0.25,0.25,0.25
DietaBalanceada_No,0.24324324324324326,0.0,-0.24324324324324326,0.24324324324324326
ExperienciaPreviaLogica_Filosofia,0.26126126126126126,0.5,0.23873873873873874,0.23873873873873874
DietaBalanceada_A veces,0.4864864864864865,0.25,-0.2364864864864865,0.2364864864864865
Genero_Prefiero no decirlo,0.02702702702702703,0.25,0.22297297297297297,0.22297297297297297
ExperienciaPreviaLogica_Debate,0.27927927927927926,0.5,0.22072072072072074,0.22072072072072074
MedicadoPrevioCarrera,0.05405405405405406,0.25,0.19594594594594594,0.19594594594594594
TipoAprendizaje_Auditivo (prefiero escuchar explicaciones),0.05405405405405406,0.25,0.19594594594594594,0.19594594594594594
TrabajoEnInfancia,0.43243243243243246,0.25,-0.18243243243243246,0.18243243243243246
ResilienciaFrustracion4,4.171171171171171,4.0,-0.17117117117117076,0.17117117117117076
ActividadesExtra_CompromisoSocial,0.3333333333333333,0.5,0.16666666666666669,0.16666666666666669
Genero_Femenino,0.16216216216216217,0.0,-0.16216216216216217,0.16216216216216217
NivelInstrumentoMusical_Intermedio,0.15315315315315314,0.0,-0.15315315315315314,0.15315315315315314
ResilienciaFrustracion2,3.891891891891892,3.75,-0.1418918918918921,0.1418918918918921
UsoHerramientasIA_A veces (pocas veces al mes),0.3783783783783784,0.5,0.1216216216216216,0.1216216216216216
ExperienciaPrevia,0.38738738738738737,0.5,0.11261261261261263,0.11261261261261263
ActividadesEnInfancia_JuegoFisico,0.8558558558558559,0.75,-0.10585585585585588,0.10585585585585588
ExperienciaPreviaLogica_Ajedrez,0.6036036036036037,0.5,-0.10360360360360366,0.10360360360360366
ActividadesEnInfancia_ActividadesSocioCulturales,0.35135135135135137,0.25,-0.10135135135135137,0.10135135135135137
UsoHerramientasIA_Diariamente,0.0990990990990991,0.0,-0.0990990990990991,0.0990990990990991
ConsumoCafe,0.4144144144144144,0.5,0.0855855855855856,0.0855855855855856
NivelInstrumentoMusical_Novato,0.3333333333333333,0.25,-0.08333333333333331,0.08333333333333331
NivelIngles_Básico,0.32432432432432434,0.25,-0.07432432432432434,0.07432432432432434
Genero_Masculino,0.8108108108108109,0.75,-0.060810810810810856,0.060810810810810856
NivelInstrumentoMusical_Avanzado,0.04504504504504504,0.0,-0.04504504504504504,0.04504504504504504
MetodoDeEstudio_Lectura,0.4594594594594595,0.5,0.040540540540540515,0.040540540540540515
ExperienciaPreviaLogica_Matematicas,0.2882882882882883,0.25,-0.038288288288288286,0.038288288288288286
NivelIngles_Nativo,0.036036036036036036,0.0,-0.036036036036036036,0.036036036036036036
FamiliaDisfuncional_Sí,0.27927927927927926,0.25,-0.029279279279279258,0.029279279279279258
DescalcificacionEnGestacion_No lo sé,0.22522522522522523,0.25,0.02477477477477477,0.02477477477477477
FamiliaDisfuncional_No,0.4774774774774775,0.5,0.022522522522522515,0.022522522522522515
ConsumioOmega3_Sí,0.5135135135135135,0.5,-0.013513513513513487,0.013513513513513487
FamiliaDisfuncional_Tal vez,0.24324324324324326,0.25,0.006756756756756743,0.006756756756756743
