x,y
61.101,1759200
55.277,913020
85.186,1366200
70.032,1185400
58.598,682330
83.829,1188600
74.764,434830
85.781,1200000
64.862,659870
50.546,381660
57.107,325220
141.64,1550500
57.34,315510
84.084,722580
56.407,71618
53.794,351290
63.654,530480
51.301,56077
64.296,365180
70.708,538930
61.891,313860
202.7,2176700
54.901,426300
63.261,518750
55.649,308250
189.45,2263800
128.28,1350100
109.57,704670
131.76,1469200
222.03,2414700
52.524,122000
65.894,599660
92.482,1213400
58.918,184950
82.111,654260
79.334,456230
80.959,411640
56.063,339280
128.36,1011700
63.534,549740
54.069,55657
68.825,391150
117.08,538540
57.737,244060
78.247,673180
70.931,104630
50.702,513370
58.014,184400
117,800430
55.416,101790
75.402,675040
53.077,183960
74.239,428850
76.031,499810
63.328,142330
63.589,142110
62.742,247560
56.397,460420
93.102,396240
94.536,541410
88.254,516940
51.793,74279
212.79,1792900
149.08,1205400
189.59,1705400
72.182,488520
82.951,574420
102.36,777540
54.994,101730
203.41,2099200
101.36,667990
73.345,402590
60.062,127840
72.259,334110
50.269,268070
65.479,29678
75.386,388450
50.365,570140
102.74,675260
51.077,205760
57.292,47953
51.884,20421
63.557,67861
97.687,754350
65.159,534360
85.172,424150
91.802,679810
60.02,92695
55.204,15200
50.594,282140
57.077,184510
76.366,429590
58.707,720290
53.054,198690
82.934,14454
133.94,905510
54.369,61705
